locality_id,longitude,latitude
L2390329,-114.056848,51.0292262
L760023,-113.0704308,49.900108
L299543,-115.5931835,51.1722383
L163249,-115.84621,51.26341
L1496701,-114.0100462,50.9031505
L817096,-113.3737779,53.5836653
L521077,-119.0905952,55.2064022
L711510,-118.806088,55.1715889
L2589245,-113.3998275,53.554765
L879045,-114.0070252,50.8893184
L619864,-110.9042358,54.0738942
L795636,-113.5085106,53.6168484
L3444215,-113.9886475,50.3592066
L283710,-114.068837,51.0547884
L4434824,-113.5539687,51.2120319
L4745289,-113.5339057,53.2655466
L524794,-118.5699463,55.3338314
L419095,-113.4269714,50.8306619
L739139,-113.8605022,49.1318296
L604151,-113.6332655,50.9046296
L349379,-114.1164323,50.9807589
L467641,-110.2039433,54.4563187
L345997,-114.17685,51.09163
L622216,-110.1410294,54.4614576
L1303645,-113.6564827,53.6154737
L293997,-113.2250977,50.9389598
L1466360,-114.0091308,50.9370795
L3919690,-114.5261615,50.6367997
L302973,-110.469,49.113
L989270,-116.4559364,51.670213
L1405638,-114.0848091,50.9336108
L345993,-115.5608,51.17626
L4434750,-113.4126484,51.0420145
L1402922,-118.0853033,52.8750527
L629624,-114.4384003,53.5611635
L585195,-118.8190269,55.1981732
L4957070,-114.4387684,49.608823
L2586491,-113.4978461,51.2706955
L361663,-113.4448242,50.8241425
L163245,-115.6018546,51.1784927
L1175217,-116.6817248,55.6249673
L364690,-114.2077732,51.0099206
L770871,-111.7396259,54.1841878
L468251,-114.5805359,53.5492834
L287659,-113.9155556,49.0488889
L990052,-111.5173848,50.7621353
L351684,-110.48819,53.82942
L421273,-111.897085,50.5720852
L335790,-118.091526,52.8787654
L523499,-118.483,55.25
L434506,-114.5681763,50.9482617
L374723,-113.5404396,51.0461427
L521640,-118.9352417,55.249772
L467560,-118.8135338,55.2685542
L405210,-113.6967587,50.8056906
L892146,-110.3028202,49.6635585
L341675,-116.21629,51.41658
L430047,-113.9521962,50.8409441
L1146957,-112.1181715,49.7988156
L989258,-116.17836,51.4169804
L766102,-112.0462561,53.5008235
L343763,-116.18071,51.32747
L4466597,-111.6743664,50.6996822
L796823,-113.1836843,50.9027081
L1088329,-115.5707464,51.1784232
L3711088,-112.7593803,54.4377534
L342048,-111.616931,49.0824889
L161199,-114.00992,51.030354
L467351,-118.7706184,55.1890728
L626405,-112.899971,53.239948
L2544795,-118.0929,52.90631
L728322,-113.7139893,50.5448539
L1515946,-112.6647976,53.3499674
L2084086,-113.7998118,54.6512452
L294151,-114.0338889,50.9747222
L351685,-113.82444,53.5674
L161173,-114.121544,50.974445
L207050,-113.6591589,53.6143082
L417402,-117.6975632,56.22255
L1217921,-112.8701019,49.7033306
L624083,-114.9880251,50.5969496
L767443,-116.1526108,51.4448066
L2345069,-114.0039682,50.9135324
L801103,-114.2080951,49.5828104
L339530,-110.9668922,49.3550975
L592475,-114.1556311,51.0619507
L2,-115.3560111,51.0911115
L284048,-114.0275803,50.9967513
L1457863,-116.1257245,51.3981439
L1370725,-111.1020112,49.3889099
L864644,-111.6577113,49.3576797
L1547932,-112.7693398,51.4674857
L383716,-115.0548363,51.0301674
L497711,-114.0274429,50.9690219
L1312397,-114.1321086,50.9289271
L449814,-113.8025236,51.0691245
L524839,-113.0707741,53.2924125
L2584728,-114.0124655,50.8973148
L2971333,-113.7537718,51.0655108
L691371,-113.3210135,53.442468
L1902206,-112.8615551,49.6997415
L3584944,-110.75531960000001,54.251236
L368183,-110.645113,50.0432227
L1477820,-117.2206322,52.2372606
L739134,-112.8557682,49.6415672
L1864048,-118.0807976,52.8502928
L2386499,-114.0234089,51.0455559
L1148117,-112.8558382,53.6116013
L613589,-110.9179688,54.2427606
L286787,-110.1719284,49.6458468
L1450980,-115.4942685,51.2406503
L1448462,-114.0812042,51.1057912
L4832190,-113.5527563,53.5286952
L267671,-114.1463977,50.9904591
L475870,-114.1138744,50.930143
L375278,-114.0142465,51.0415423
L464086,-114.0165907,50.9002978
L2130827,-114.8225784,55.4237532
L451823,-113.3306694,50.9810197
L6202259,-113.7814454,50.571323
L452820,-113.3974242,51.1595112
L351682,-111.97699,54.83378
L3670796,-114.8468122,50.7980895
L371909,-113.6537361,49.7056101
L449812,-113.8152695,51.0420415
L2987054,-114.0461969,49.0172699
L739135,-112.830074,49.6498169
L2246573,-110.7816364,50.0507503
L739137,-113.9668465,49.0284142
L1484159,-111.9750166,49.8282387
L388503,-110.7574654,54.2608126
L255433,-115.63728330000001,51.2782396
L809952,-110.1799536,54.471933
L3510522,-113.6510539,53.616231
L374122,-117.5850499,53.3879164
L542688,-118.7275314,55.1555317
L864682,-110.1398277,49.045576
L2584738,-114.021015,50.9100249
L356247,-113.5398133,51.2570774
L2437629,-113.8806295,50.9504122
L1409960,-114.0875513,51.0739338
L2451734,-113.6912656,51.0353897
L265769,-113.7878267,53.4131868
L739140,-112.885306,49.6352914
L1802691,-114.2772531,51.0129689
L1462784,-113.8568103,49.0975809
L1850586,-112.5273264,53.3805798
L351687,-111.911062,50.44625
L1146986,-113.7179804,50.5652486
L772295,-113.052063,53.4144432
L793611,-110.222826,54.5612636
L604150,-113.6597443,50.9979843
L346002,-114.12205,51.1162
L624014,-115.051918,52.4570554
L989454,-113.8471985,49.1348622
L1795580,-114.7965172,51.050422
L635369,-118.8062382,55.1222691
L1356880,-113.9931804,50.9210768
L864468,-112.5541162,49.528941
L1292766,-115.1393795,50.9439896
L3187356,-114.1252805,51.0599413
L430045,-115.0829887,51.0776454
L864663,-111.1462355,49.415273
L760014,-113.4088191,50.1371524
L1501691,-118.1259875,52.8341256
L1801384,-114.02692,49.1308275
L2150274,-111.8614197,53.8711538
L2095406,-113.5861874,53.4978495
L4455344,-114.5401955,51.329539
L382140,-113.9895487,51.2853531
